"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 10:26:27 WAT 2023","Thu Mar 16 10:26:36 WAT 2023","9127","","","","","","search",""
"failed","Thu Mar 16 10:23:06 WAT 2023","Thu Mar 16 10:24:03 WAT 2023","57041","","","","","","delete",""
"passed","Thu Mar 16 10:25:16 WAT 2023","Thu Mar 16 10:25:18 WAT 2023","2443","","","","","","filter",""
"failed","Thu Mar 16 10:25:40 WAT 2023","Thu Mar 16 10:25:47 WAT 2023","7143","","All Login Tests","","","","Login with invalid email",""
"passed","Thu Mar 16 10:25:23 WAT 2023","Thu Mar 16 10:25:31 WAT 2023","8142","","","","","","modify",""
"failed","Thu Mar 16 10:26:02 WAT 2023","Thu Mar 16 10:26:19 WAT 2023","17196","","","","","","Register",""
"failed","Thu Mar 16 10:25:47 WAT 2023","Thu Mar 16 10:25:55 WAT 2023","7696","","All Login Tests","","","","Login with invalid password",""
"failed","Thu Mar 16 10:24:57 WAT 2023","Thu Mar 16 10:25:10 WAT 2023","12296","","","","","","empty",""
"failed","Thu Mar 16 10:24:13 WAT 2023","Thu Mar 16 10:24:49 WAT 2023","36894","","","","","","displayerror",""
"passed","Thu Mar 16 10:25:37 WAT 2023","Thu Mar 16 10:25:40 WAT 2023","3361","","All Login Tests","","","","Login successful",""
"passed","Thu Mar 16 10:26:42 WAT 2023","Thu Mar 16 10:26:43 WAT 2023","1040","","template spec","","","","Load the homepage",""
